# Title: Online Malicious URL Splunk Lookup
# Updated: 2025-07-19T12:11:28Z
# Expires: 12 hours (update frequency)
# Homepage: https://gitlab.com/malware-filter/urlhaus-filter
# License: https://gitlab.com/malware-filter/urlhaus-filter#license
# Source: https://urlhaus.abuse.ch/api/
"host","path","message","updated"
"0022a601.pphost.net","","urlhaus-filter malicious website detected","2025-07-19T12:11:28Z"
"1.1.109.99","","urlhaus-filter malicious website detected","2025-07-19T12:11:28Z"
"1.13.187.97","","urlhaus-filter malicious website detected","2025-07-19T12:11:28Z"
"1.15.230.7","","urlhaus-filter malicious website detected","2025-07-19T12:11:28Z"
"1.15.25.148","","urlhaus-filter malicious website detected","2025-07-19T12:11:28Z"
"1.15.34.67","","urlhaus-filter malicious website detected","2025-07-19T12:11:28Z"
"1.179.63.129","","urlhaus-filter malicious website detected","2025-07-19T12:11:28Z"
"1.181.227.183","","urlhaus-filter malicious website detected","2025-07-19T12:11:28Z"
"1.181.70.42","","urlhaus-filter malicious website detected","2025-07-19T12:11:28Z"
"1.234.66.181","","urlhaus-filter malicious website detected","2025-07-19T12:11:28Z"
"1.55.243.196","","urlhaus-filter malicious website detected","2025-07-19T12:11:28Z"
"1.70.14.107","","urlhaus-filter malicious website detected","2025-07-19T12:11:28Z"
"1.82.240.122","","urlhaus-filter malicious website detected","2025-07-19T12:11:28Z"
"1.92.135.168","","urlhaus-filter malicious website detected","2025-07-19T12:11:28Z"
"1.92.138.71","","urlhaus-filter malicious website detected","2025-07-19T12:11:28Z"
"1.94.134.161","","urlhaus-filter malicious website detected","2025-07-19T12:11:28Z"
"1.94.183.238","","urlhaus-filter malicious website detected","2025-07-19T12:11:28Z"
"1.94.184.17","","urlhaus-filter malicious website detected","2025-07-19T12:11:28Z"
"1.94.239.203","","urlhaus-filter malicious website detected","2025-07-19T12:11:28Z"
"1.94.243.114","","urlhaus-filter malicious website detected","2025-07-19T12:11:28Z"
"1.izumisv1.cc","","urlhaus-filter malicious website detected","2025-07-19T12:11:28Z"
"100.1.53.24","","urlhaus-filter malicious website detected","2025-07-19T12:11:28Z"
"101.126.11.168","","urlhaus-filter malicious website detected","2025-07-19T12:11:28Z"
"101.133.156.69","","urlhaus-filter malicious website detected","2025-07-19T12:11:28Z"
"101.133.229.117","","urlhaus-filter malicious website detected","2025-07-19T12:11:28Z"
"101.200.220.118","","urlhaus-filter malicious website detected","2025-07-19T12:11:28Z"
"101.201.227.94","","urlhaus-filter malicious website detected","2025-07-19T12:11:28Z"
"101.32.40.22","","urlhaus-filter malicious website detected","2025-07-19T12:11:28Z"
"101.33.243.139","","urlhaus-filter malicious website detected","2025-07-19T12:11:28Z"
"101.33.244.192","","urlhaus-filter malicious website detected","2025-07-19T12:11:28Z"
"101.35.228.105","","urlhaus-filter malicious website detected","2025-07-19T12:11:28Z"
"101.35.235.124","","urlhaus-filter malicious website detected","2025-07-19T12:11:28Z"
"101.36.116.222","","urlhaus-filter malicious website detected","2025-07-19T12:11:28Z"
"101.37.34.164","","urlhaus-filter malicious website detected","2025-07-19T12:11:28Z"
"101.42.239.131","","urlhaus-filter malicious website detected","2025-07-19T12:11:28Z"
"101.43.244.21","","urlhaus-filter malicious website detected","2025-07-19T12:11:28Z"
"101.43.27.138","","urlhaus-filter malicious website detected","2025-07-19T12:11:28Z"
"101.43.49.183","","urlhaus-filter malicious website detected","2025-07-19T12:11:28Z"
"101.58.146.184","","urlhaus-filter malicious website detected","2025-07-19T12:11:28Z"
"102.132.214.18","","urlhaus-filter malicious website detected","2025-07-19T12:11:28Z"
"102.165.122.114","","urlhaus-filter malicious website detected","2025-07-19T12:11:28Z"
"102.212.60.172","","urlhaus-filter malicious website detected","2025-07-19T12:11:28Z"
"102.216.105.81","","urlhaus-filter malicious website detected","2025-07-19T12:11:28Z"
"102.216.69.112","","urlhaus-filter malicious website detected","2025-07-19T12:11:28Z"
"102.23.89.2","","urlhaus-filter malicious website detected","2025-07-19T12:11:28Z"
"102.31.165.227","","urlhaus-filter malicious website detected","2025-07-19T12:11:28Z"
"102.39.242.53","","urlhaus-filter malicious website detected","2025-07-19T12:11:28Z"
"102.53.15.17","","urlhaus-filter malicious website detected","2025-07-19T12:11:28Z"
"102.53.15.18","","urlhaus-filter malicious website detected","2025-07-19T12:11:28Z"
"102.68.74.28","","urlhaus-filter malicious website detected","2025-07-19T12:11:28Z"
"102.68.74.45","","urlhaus-filter malicious website detected","2025-07-19T12:11:28Z"
"102.68.74.46","","urlhaus-filter malicious website detected","2025-07-19T12:11:28Z"
"102.68.74.69","","urlhaus-filter malicious website detected","2025-07-19T12:11:28Z"
"103.1.157.126","","urlhaus-filter malicious website detected","2025-07-19T12:11:28Z"
"103.10.63.150","","urlhaus-filter malicious website detected","2025-07-19T12:11:28Z"
"103.101.81.142","","urlhaus-filter malicious website detected","2025-07-19T12:11:28Z"
"103.106.250.161","","urlhaus-filter malicious website detected","2025-07-19T12:11:28Z"
"103.116.190.93","","urlhaus-filter malicious website detected","2025-07-19T12:11:28Z"
"103.121.195.3","","urlhaus-filter malicious website detected","2025-07-19T12:11:28Z"
"103.123.98.86","","urlhaus-filter malicious website detected","2025-07-19T12:11:28Z"
"103.125.163.10","","urlhaus-filter malicious website detected","2025-07-19T12:11:28Z"
"103.130.213.4","","urlhaus-filter malicious website detected","2025-07-19T12:11:28Z"
"103.130.213.44","","urlhaus-filter malicious website detected","2025-07-19T12:11:28Z"
"103.137.36.6","","urlhaus-filter malicious website detected","2025-07-19T12:11:28Z"
"103.144.210.195","","urlhaus-filter malicious website detected","2025-07-19T12:11:28Z"
"103.146.202.41","","urlhaus-filter malicious website detected","2025-07-19T12:11:28Z"
"103.153.93.18","","urlhaus-filter malicious website detected","2025-07-19T12:11:28Z"
"103.156.141.240","","urlhaus-filter malicious website detected","2025-07-19T12:11:28Z"
"103.159.152.118","","urlhaus-filter malicious website detected","2025-07-19T12:11:28Z"
"103.159.221.33","","urlhaus-filter malicious website detected","2025-07-19T12:11:28Z"
"103.159.72.227","","urlhaus-filter malicious website detected","2025-07-19T12:11:28Z"
"103.16.75.50","","urlhaus-filter malicious website detected","2025-07-19T12:11:28Z"
"103.161.230.13","","urlhaus-filter malicious website detected","2025-07-19T12:11:28Z"
"103.162.59.217","","urlhaus-filter malicious website detected","2025-07-19T12:11:28Z"
"103.163.118.122","","urlhaus-filter malicious website detected","2025-07-19T12:11:28Z"
"103.163.119.220","","urlhaus-filter malicious website detected","2025-07-19T12:11:28Z"
"103.164.191.74","","urlhaus-filter malicious website detected","2025-07-19T12:11:28Z"
"103.164.200.170","","urlhaus-filter malicious website detected","2025-07-19T12:11:28Z"
"103.165.81.230","","urlhaus-filter malicious website detected","2025-07-19T12:11:28Z"
"103.173.173.98","","urlhaus-filter malicious website detected","2025-07-19T12:11:28Z"
"103.174.191.145","","urlhaus-filter malicious website detected","2025-07-19T12:11:28Z"
"103.175.16.75","","urlhaus-filter malicious website detected","2025-07-19T12:11:28Z"
"103.180.241.200","","urlhaus-filter malicious website detected","2025-07-19T12:11:28Z"
"103.187.146.29","","urlhaus-filter malicious website detected","2025-07-19T12:11:28Z"
"103.187.151.107","","urlhaus-filter malicious website detected","2025-07-19T12:11:28Z"
"103.20.102.84","","urlhaus-filter malicious website detected","2025-07-19T12:11:28Z"
"103.206.130.213","","urlhaus-filter malicious website detected","2025-07-19T12:11:28Z"
"103.207.4.245","","urlhaus-filter malicious website detected","2025-07-19T12:11:28Z"
